Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Wiseman, Philippa",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,0,Coxswain,Finished,
"Shawdon, James",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,1,Bow,Finished,
"Young, Federico",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,2,2,Finished,
"Chamev, Svetlin",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,3,3,Finished,
"Boulton, Martin",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,4,4,Finished,
"Barton, Wayne",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,5,5,Finished,
"Lageri-Schmidt Jensen, Stefan",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,6,6,Finished,
"Mortby, Paul",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,7,7,Finished,
"Eaton, James",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,London RC,London RC,0,8,Stroke,Finished,
"Barker, Rachel",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,0,Coxswain,Finished,05:51.3
"Santoro, Massimo",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,1,Bow,Finished,05:51.3
"Curry, Andrew",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,2,2,Finished,05:51.3
"Yates, David",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,3,3,Finished,05:51.3
"Devries, Bryan",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,4,4,Finished,05:51.3
"Kemmis Betty, Alexander",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,5,5,Finished,05:51.3
"Brooke, Matthew",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,6,6,Finished,05:51.3
"Bull, John",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,7,7,Finished,05:51.3
"Blake, Alex",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,1,8,Stroke,Finished,05:51.3
"Broad, Ismene",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,0,Coxswain,Finished,06:04.1
"Restall, Edward",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,1,Bow,Finished,06:04.1
"Pool, Oliver",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,2,2,Finished,06:04.1
"Booth, Robin",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,3,3,Finished,06:04.1
"Somers, Robin",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,4,4,Finished,06:04.1
"Pain, Ashley",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,5,5,Finished,06:04.1
"Primarolo, Henry",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,6,6,Finished,06:04.1
"Slimming, Will",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,7,7,Finished,06:04.1
"Bradley, Damien",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Worcester RC,Worcester RC,2,8,Stroke,Finished,06:04.1
"McWilliam, Alice",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,0,Coxswain,Finished,06:04.2
"Dinse, Hannes",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,1,Bow,Finished,06:04.2
"Hunter, Evan",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,2,2,Finished,06:04.2
"Swift, Oscar",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,3,3,Finished,06:04.2
"Mac Donnchadha, Colm",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,4,4,Finished,06:04.2
"Croft, Duncan",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,5,5,Finished,06:04.2
"Watt, Tom",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,6,6,Finished,06:04.2
"Baverel, Paul",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,7,7,Finished,06:04.2
"Shadbolt, Thomas",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,3,8,Stroke,Finished,06:04.2
"Bell, Jessica",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,0,Coxswain,Finished,06:11.0
"Bowen, Ori",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,1,Bow,Finished,06:11.0
"Williams, David",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,2,2,Finished,06:11.0
"Orme, Timothy",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,3,3,Finished,06:11.0
"Dunkley, Andrew",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,4,4,Finished,06:11.0
"Crilly, Joe",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,5,5,Finished,06:11.0
"Bell, Junayd",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,6,6,Finished,06:11.0
"Beverton, Max James",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,7,7,Finished,06:11.0
"Thomas, Matt",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,4,8,Stroke,Finished,06:11.0
"Chandler, Charlotte",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,0,Coxswain,Finished,06:18.3
"Evans, Michael",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,1,Bow,Finished,06:18.3
"King, Ryan",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,2,2,Finished,06:18.3
"Harris, Joshua",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,3,3,Finished,06:18.3
"Elliott, George",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,4,4,Finished,06:18.3
"Baker, Sam",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,5,5,Finished,06:18.3
"Lee, Jacob",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,6,6,Finished,06:18.3
"Farley, Matthew",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,7,7,Finished,06:18.3
"Vincent, Jonti",IM3.8+ Club Crews,6/21/2014,8:30 AM,Time Trial,TT 1,Bedford RC,Bedford RC,5,8,Stroke,Finished,06:18.3
"Godinho, Manuel",IM2.4-,6/21/2014,8:32 AM,Time Trial,TT 1,London RC,London RC,0,1,Bow,Finished,
