Race No,Event Name,Race Type,Position,Lane Number,Club Code,Club Name,Crew List
1,Eights Tier 2,Heat 1,1,5,SAA,Star & Arrow,"Tom Wiblin, Patrick George, Harry Higginbottom, James Fox, Jonathan Cameron, Callum Johnson, Chris Ray, Bertie Woodward-Fisher, [Cox] Samuel Royston"
1,Eights Tier 2,Heat 1,2,1,AGE (A),Agecroft RC,"Andrew Thomas, Tristan Hollis, Thomas Buckley, Rory O'Neill, Sean Szekely, John Ford, Benedict Adey-Johnson, Jack Roe, [Cox] Lucy Masters"
1,Eights Tier 2,Heat 1,3,3,TRC (B),Thames RC,"Simon Moss, Joe Abdalla, Nicholas Pusinelli, Andrew Gordon, Charlie Bouch, Sam Thornton, Huw Jones, Sebastien Tyrie, [Cox] Emily Burge"
1,Eights Tier 2,Heat 1,4,2,HAM (B),Hampton Sch,"Matthew Hamilton, Matthew Turner, Tom Davis, Rory Gilligan, Edward Butler, Thomas Worthington, Tom Cross, Piero Ladhur, [Cox] Charlie Marcus"
1,Eights Tier 2,Heat 1,5,7,ZDU (A),Dublin University BC,"Lucas Prodohl, Brian Cronin, Sean Canning, William Eddershaw, Matthew Mitchell, Willian Doyle, Adam Browne, Mark Quigely, [Cox] Ciara Sheehan"
1,Eights Tier 2,Heat 1,6,4,LRC (B),London RC,"Will Golding, Christopher Linn, Joshua Scott Meredith, Aidan O' Flaherty, Edward Sandhu, Nick Adams, George Trelawny, Rory Corbett, [Cox] Charlotte Fuscone"
1,Eights Tier 2,Heat 1,7,6,VRC (A),Vesta RC,"Sven Radcke, Oliver Lumley, Michael Warren, Giovanni Galavotti, Christopher Clements, Henry Primarolo, Robert Donald, William Pearson, [Cox] Chloe Ramambason"
2,Eights Tier 2,Heat 2,1,3,ETN (A),Eton Coll,"Charles Pearson, Alexander Boardman, Francis Baring, Noah Norman, Patrick Adams, Felix Drinkall, Oscar Carr-Middleton, Max Ridgewell, [Cox] George Cozens"
2,Eights Tier 2,Heat 2,2,6,RAD (A),Radley Coll,"Freddie Corner, Freddie Elwes, Max Dunlap, William Heagerty, Luke Miles, Archie McChesney, Max Senior, Edward Rae Smith, [Cox] Matthew Dawson"
2,Eights Tier 2,Heat 2,3,2,TSS,Tideway Sc Sch,"Rob Hogan, Sean Blake, Robert Muscroft, Lewis Van Diggele, Robert Hodgson, Samuel Anderson, Edward Beckett, Kieran Brown, [Cox] Ruaridh MacPhee"
2,Eights Tier 2,Heat 2,4,7,UTC,Upper Thames RC,"Christopher Lowe, Daniel Shoobridge, Peter Holloway, James Kirkbride, Dan Bowen, Will Shrieve, Michael Broom, Andy Ciecierski, [Cox] Beatrice Searle"
2,Eights Tier 2,Heat 2,5,5,CUR (B),Curlew RC,"John Stewart, Angus Wilson, Lukas Schmidt, Callum Stayton, Eoghan Beamish, Alexander James Parsons-Mills, T Weekes, Matthew Richardson, [Cox] Nicola Freeman"
2,Eights Tier 2,Heat 2,6,1,ETN (A),Eton Coll,"Oliver Brufal de Melgarejo, Adam Mombru, Batu Yuceman, Kuttel Rorke, Theodore Hall, Alex Rusis, Aubrey Warley, Richard Taylor, [Cox] Edward Bracey"
2,Eights Tier 2,Heat 2,7,4,HAM (C),Hampton Sch,"Henry McLeod, Harry O'Loughlin, Harry Fieldhouse, Henry Cockett, Bill Downey, Oliver Bridge, Oli Woodall, Benjamin Andrews, [Cox] Joe Gellett"
3,Eights Tier 4,Heat 1,1,6,RCH (A),Royal Chester,"Fraser Morgan, Henry William McGarva, Peter Dean, Daniel Weatherly, Harrison Hunter, Thomas Rushton, Alexander Constantinou, John Hedley McGarva, [Cox] Abigail Sanders"
3,Eights Tier 4,Heat 1,2,2,LEE (A),Leeds RC,"Androioannis Lorentzatos, Mark Tarrant, Lewis Marston, Conor Vincent, James Tipper, Daniel Humphrey, Vasileios Athanasiadis, Theodosios Travlos, [Cox] Jasmine Jones"
3,Eights Tier 4,Heat 1,3,4,DUB,Durham Univ,"Matthew Roe, Harry Cox, Lachie Ives, George Cansdale, Lloyd Barron-Robinson, Christian Palmer, Lucas Rodd, Benjamin Evans, [Cox] Fiona Hardyman"
3,Eights Tier 4,Heat 1,4,1,UBR (B),Bristol Univ,"Gareth Davies, Tom Sykes, William Feakes, Charlie Baker, Alasdair Knight, Tom Watkinson, Morgan Gray, Marcus Smith, [Cox] Alicia Hardy"
3,Eights Tier 4,Heat 1,5,3,VRC (C),Vesta RC,"Robert Alexander, Christian Green, Joseph Casey, Rory Baggott, Alexander KÃ¼ng, James Cox, Laurence Hookway, Oliver Chapman, [Cox] Chloe Ramambason"
3,Eights Tier 4,Heat 1,6,5,ZDU (B),Dublin University BC,"Paulus Heemskerk, Ross Layden, John Taaffe, Hugh Lohan, Constantine Knauer, Brian Egan, Andrew Burgess, Gavin Moore, [Cox] Hannah Colgan"
4,Eights Tier 4,Heat 2,1,6,JEO,Jesus Coll Oxf,"John Gardner, Iolo Jones, Robert Strachan, Hugo Markland, Thomas de Sousa, Keir Bowater, Andrew Everall, Tom Commins, [Cox] Iona Gilby"
4,Eights Tier 4,Heat 2,2,5,NRC,Nottingham RC,"Hamish Hughes, Toby Piggott, Matthew Bowles, Adam Wright, George Rymell, Stephen Bennett, Ben Farrell, James Doleman, [Cox] Sophie Jones"
4,Eights Tier 4,Heat 2,3,2,EXU (B),Exeter Univ,"Fergus Shegog, Cameron Murray, Ben Shaw, James Manton, James Shaw, John Hunt, Angus Irvine, Charles Scott, [Cox] Edward Mills"
4,Eights Tier 4,Heat 2,4,1,NOR (A),Norwich RC,"Oliver Roe, Ed English, Oli Tyler, Carey Pearson, Carl Shiplee, Jake Kattenhorn Black, Toby Trett, Oliver Negus, [Cox] Darwin Columbus Friend"
4,Eights Tier 4,Heat 2,5,4,EXU (A),Exeter Univ,"Edward Pountney, Benjamin Sherry, Rhys Powell, John Adams, Matthew Bladen, Thomas Richards, Michael de Winton, Jack Marcus, [Cox] Rossana Wing"
4,Eights Tier 4,Heat 2,6,3,MAR (B),Marlow RC,"Matthew Smith, James Busby, Mark Ruinet, Christopher Renwick, Kingsley McDiarmid, Thomas Rendell, David Brindle, Timothy Mitchell, [Cox] Claudia Russell"
5,Coxed Fours Tier 5,Heat 1,1,4,AGE (A),Agecroft RC,"Adam Godfrey, David Bentham, Nick Morrey, Oliver Uttley, [Cox] Annabel Pooley"
5,Coxed Fours Tier 5,Heat 1,2,7,GLU,Glasgow Univ,"Morgan Serpell, Calum Sinclair, Iain Mclaughlin, Gerard Gallagher, [Cox] Rebecca Vest"
5,Coxed Fours Tier 5,Heat 1,3,5,WAR,Warwick BC,"Andrew Collett, Michael Hourigan, Patrick Hourigan, Philip Tonkin, [Cox] Samantha Wesley"
5,Coxed Fours Tier 5,Heat 1,4,6,EXU,Exeter Univ,"Tristan Taylor, Nicholas Mathers, John Peterson, Carl Lofthagen, [Cox] Sophie Wrixon"
5,Coxed Fours Tier 5,Heat 1,5,2,AKN,Auriol Ken,"Juan Aponte, Stuart Watts, James Kirkbride, Joshua Herridge, [Cox] William Lewis"
5,Coxed Fours Tier 5,Heat 1,6,3,TRC (B),Thames RC,"Jonathan Campbell, Edward Lewis-Parry, Tom Bradshaw, Tom Roberts, [Cox] Ricardo Le"
5,Coxed Fours Tier 5,Heat 1,7,1,CFU (A),Cardiff Univ,"James Dennis, Nicholas Garraway, Christopher Woolley, Dominic O'Malley, [Cox] Emma Fitzpatrick"
6,Coxed Fours Tier 5,Heat 2,1,4,CNN,Cambridge 99,"Edward Gardiner, Dominic Bennett, Nicholas Thorn, Helge Dietert, [Cox] Lily Chan"
6,Coxed Fours Tier 5,Heat 2,2,6,BOU,Bournemouth Un,"Liam Steele, Jacob Manson, James Lambton-Heys, Gian-Luc Angiolini, [Cox] Laura Sutton"
6,Coxed Fours Tier 5,Heat 2,3,3,RCH,Royal Chester,"Matthew Webb, David Barstow, Harry Ballard, Jonathan Jamshed, [Cox] Jessica Bromley"
6,Coxed Fours Tier 5,Heat 2,4,2,UWE,W England Univ,"Toby Graham, Ryan Whitson-Fay, Ethan Clark, James Roch, [Cox] Freya Jennings"
6,Coxed Fours Tier 5,Heat 2,5,7,ZDU (B),Dublin University BC,"Daniel Dennis, Ryan Dullaghan, Mark Connolly, Donal O'Shea, [Cox] Arne Philipeit"
6,Coxed Fours Tier 5,Heat 2,6,5,CFU (B),Cardiff Univ,"Harry Neame, Sam Davenport, George Webb, Christopher Blenkharn, [Cox] Isobel Fish"
6,Coxed Fours Tier 5,Heat 2,7,1,IMP (B),Imperial Coll,"Dmitrii Usynin, James Wilson, Joe Hansard, Sarunas Driezis, [Cox] Catherine Bowden"
7,Coxed Fours Tier 3,Heat 1,1,5,DUB (B),Durham Univ,"Chris Rimmer, Joseph Johansen, Patrick Kinch, James Vogel, [Cox] Benjamin Rich"
7,Coxed Fours Tier 3,Heat 1,2,6,SUA (A),Stratford Avon,"Edward Lewry, Thomas Coles, Ben Twiney, Christopher Thomas, [Cox] Eleanor Willetts"
7,Coxed Fours Tier 3,Heat 1,3,2,ZNU (C),NUI Galway BC,"Donal Coen, Eoghan Walls-Tuite, Brian Keane, Jack Kilduff, [Cox] Johanna Walsh"
7,Coxed Fours Tier 3,Heat 1,4,1,UCL (B),UC London,"Rory Dawson, Sachin Turakhia, Maximilian Hess, Jaime San Miguel Navas, [Cox] Sean Cannon"
7,Coxed Fours Tier 3,Heat 1,5,3,COX,Oxford City,"Edward Podgorski, Stewart Elliston, Simon Kirk, Thomas Briggs, [Cox] Kirstin Anderson"
7,Coxed Fours Tier 3,Heat 1,6,4,UCL (A),UC London,"Shay Sharma, Theodore Fawcett, Joris Simaitis, Freddie Dewey, [Cox] Florence Beard"
8,Coxed Fours Tier 3,Heat 2,1,1,DUB (A),Durham Univ,"Max Robinson, Oscar Lindsay, Danylo Gorenkin, Leon Langmead, [Cox] Eleanor Robson"
8,Coxed Fours Tier 3,Heat 2,2,2,ZCK,Cork BC,"Tomas Power, Sean O'Sullivan, Joe Kearney, Neil McCarthy, [Cox] Siobhan Egan"
8,Coxed Fours Tier 3,Heat 2,3,7,ZNU (F),NUI Galway BC,"Baptiste Guerinot, Gerry Mannion, Alex Chadfield, Kai McGlacken, [Cox] Shannon Sheridian"
8,Coxed Fours Tier 3,Heat 2,4,4,QBC,Quintin BC,"Harrison Oliva, Paul Knoops, Samuel Gunning, Henry Robins, [Cox] Hazel Wilson"
8,Coxed Fours Tier 3,Heat 2,5,6,KRC (B),Kingston RC,"Simon Chaing, Edward Davies, Craig Horsford, Tom Rimmer, [Cox] Zara Scott"
8,Coxed Fours Tier 3,Heat 2,6,5,VRC (A),Vesta RC,"Sebastian Wachholz, Luca Turner, Christopher Goodfellow, Alan Hunton, [Cox] Nicola Sani"
8,Coxed Fours Tier 3,Heat 2,7,3,PTR (B),Putney Town,"Rory Keith, James Percival, Jonathan Fisher, James Diserens, [Cox] Ruth Bloxam"
9,Coxless Fours Tier 5,Heat 1,1,3,RAM,Radley Mariners,"R Gearing, Finlay Gronmark, Alexander Richardson, T Gearing"
9,Coxless Fours Tier 5,Heat 1,2,5,CFC (A),Cardiff City RC,"Shane Ahearne, Matthew Nicholls, Rhys Paul, Adrien Grubb"
9,Coxless Fours Tier 5,Heat 1,3,2,LLA,Llandaff RC,"Edward Lewis, Alexander Lawrence, Matthew Virden, Steffan Evans"
9,Coxless Fours Tier 5,Heat 1,4,6,TYN (B),Tyne RC,"Joshua Bate, Michael Dodds, Peter Storey, George Starr"
10,Coxless Fours Tier 5,Heat 2,1,2,TYN (A),Tyne RC,"Serkan Turkmen, A J Musgrave, Danny Hunter, Henry Galbraith"
10,Coxless Fours Tier 5,Heat 2,2,5,DAT,Dart Totnes ARC,"Harry Walker, Matthew Heming, Tom Walton, Harrison Skinner"
10,Coxless Fours Tier 5,Heat 2,3,3,CNN,Cambridge 99,"Nathan Ryan, Friso van Gent, Robert Sargent, Rhidian Maltby"
10,Coxless Fours Tier 5,Heat 2,4,6,CSH,Sheffield City,"Piers Turnbull, Simon Coyne, Mark Burrell, Michael Luckham"
