i,club,composite,Flag,r1,r2,r3,r4,r5,r6,r7,r8,FPos
1,Leander Club,No,A,Emily Ford,Rowan McKellar,Emily Ashford,Harriet Taylor,Fiona Gammond,Emily Carmichael,Karen Bennett,Holly Norton,1
2,Cambridge University Womens Boat Club,No,A,Patricia Smith,Imogen Grant,Paula Wesselmann,Alice White,Kelsey Barolak,Thea Zabell,Myriam Goudet,Olivia Coffey,2
3,Imperial College Boat Club,No,A,Joanna Thom,Alexandra Stonehill,Helen Elizabeth Kirkpatrick,Melanie Wilson,Georgia Francis,Rebecca Shorten,Rebecca Scown,Zoe Lee,3
5,Molesey Boat Club,No,A,Emma McDonald,Lucy Primmer,Gabby Rodriguez,Molly Harding,Ruth Whyman,Rebecca Girling,Rebecca Edwards,Katie Bartlett,4
4,University of London Boat Club,No,A,Alessandra French,Sara Parfett,Hannah Roberts,Oonagh Cousins,Charlotte Hodgkins-Byrne,Georgia Statham,Jordan Cole-Hossain,Isobel Powell,5
6,Oxford Brookes University Boat Club,No,A,Imogen Mackie,Mary Wilson,Emily Herridge,Anna Boada,Susannah Dear,Annie Withers,Sophia Heath,Zoe Taylor,6
8,Edinburgh University Boat Club,No,A,Bettie Payne,Flora Blake-Parsons,India Somerside,Lauren Gray,Lucy Glover,Jane Hardie,Lydia Currie,Alex Rankin,7
7,Cambridge University Womens Boat Club,No,B,Lucy Pike,Emma Andrews,Pippa Dakin,Laura Foster,Abigail Parker,Larkin Sayre,Daphne Martschenko,Amelia Perrin,8
52,Leander Club,No,B,Natasha Harris-White,Rachel Heap,Zoe Adamson,Bayly Camp,Ruth Siddorn,Sarah Bowyer,Georgina Brayshaw,Laura Meridew ,9
10,Tideway Scullers School,No,A,Cecilia Ricks,Amelia Carlton,Emma Reiser,Lara Emma Catherine Valt,Katy Wilkinson-Feller,Bethan Walters,Kate Wagstaff,Anna Terry,10
15,Newcastle University Boat Club,No,A,Nicole Lamb,Fiona Chestnutt,Georgia Parker,Hannah Cowie,Amy Bowman,Frances Russell,Lola Anderson,Megan Barry,11
18,Thames Rowing Club,No,A,Alex Styles,Katherine Woodward,Suzi Perry,Caterina Buizza,Amy Gibson,Jessica Eastwood,Pippa Whittaker,Natalie Hardy,12
11,Exeter University Boat Club,No,A,Sophie Ackert,Eleanor Hayes,Danielle Semple,Susannah Duncan,Abigail Pape,Oluwaseun Olusanya,Rosanna Little,Sophie Coltman,13
17,Henley Rowing Club,No,A,Phoebe Fletcher,Phyllis Barter,Georgina Robinson Ranger,Alice Jones,Mary Wright,Daisy Butterworth,Charlotte Orr,Isabel Jonsson,14
21,University of London Boat Club,No,B,Amber Pierce,Robyn Hart-Winks,Nicola kate Lawless,Sheyi Blackett,Fionnuala Gannon,Kathryn Barnhill,Emily Lindberg,Kesiah Roe,15
16,Oxford Brookes University Boat Club,No,B,Elizabeth Haskins,Bethany Meakin,Beth Willford - Dutton ,Annabel Stevens,Johanna Gannon,Ella Morgan,Aly Vogelzang,Madeleine Dobson,16
26,Newcastle University Boat Club,No,B,Gaby Munyard,Lucy Stanhope,Harriet Aubrook,Chloe Deyermond,Lauren Kay,Anna Van de Braak,Phoebe Truett,Rachel Webb,17
12,Durham University Boat Club,No,A,Francesca Quinn,Kate Lillington,Megan Lillington,Amy Polglase,Lauren Irwin,Helena Barton,Georgia Dean,Helena Louise Lang,18
28,Nottingham Rowing Club,No,A,Josephine Bowman,Abigail Baldwin,Fleur Tavare,Sophie Connolly,Annie Campbell-Orde,Kate Parsons,Charlotte Brown,Lucy Holgate,19
14,Cantabrigian Rowing Club,No,A,Georgia Vann,Jessie Spivey,Emma Dalrymple,Anna Suchankova,Megan Lloyd-Palmer,Andrea de Bruin,Eleanor Darlington,Fiona Macklin,20
19,Molesey Boat Club,No,B,Sophie Heywood,Pippa Birch,Iona Riley,Marie Grant,Charlotte Gill,Claire McKeown,Xanthe Weatherhead,Kristina Stone,21
13,Headington School Oxford Boat Club,No,A,Tilly Burn,Anna Lockhart,Mattea Wuethrich,Cordelia Mahony,Alice Van Onselen,Lucy Pullinger,Frances Curtis,Hannah Hornby,22
29,Tideway Scullers School,No,B,Holly Smith,Marlie Carter Edwards,Elizabeth Hatch,Catherine O'Riordan,Kirstyn Luton,Emily Walters,Charley Wedderburn,Katie Potter,23
38,Thames Rowing Club,No,B,Emma Feerick,Lucy Nee,Sarah Fabes,Alice Manly,Heather Walker,Lowenna Coad,Katrine Eskander,Iona Casley,24
243,Marlow Rowing Club,No,C,Talia Antioco,Daisy Bellamy,Emma Louise Stilwell,Izzie Bird,Natasha Strudwick,Charlotte Fennell,Emma Dabinett,Eve Lombardo,25
30,Bristol University Boat Club,No,A,Jessica Pope,Grace Ward-Allen,Sally Elphick,Charlotte Greenwood,Rosie Watkins,Georgiana Townley,Alice Lovett,Phoebe Beer,26
46,Oxford Brookes University Boat Club,No,C,Coralie Spearman,Emily Paul,Esme Booth,Jordan Simper,Rachel Cannon,Lucy McIntyre,Harriet Ferguson,Katie Metalli,27
22,Imperial College Boat Club,No,B,Alice Jefferies,Rebecca Rowe,Ophelia Millar,Georgiana Malin,Gledisa Musollari,Naomi Doye,Philippa England,Jade Hubbard,28
9,CUS Milano ,No,,Laura Pagnoncelli,Nadine Anna Elizabeth Agyemang Heard,Ilaria Compagnoni,Arianna Passini,Vittoria Tonoli,Benedetta Bulgheroni,Matilde Sturaro,Rosa Lucania,29
80,Vesta Rowing Club,No,A,Robyn McGregor-Ritchie,Kirsty McGregor-Ritchie,Ruth McKellar,Jamie-Rose Larkin,Catherine Long,Sarah Thompson,Louisa Emkes,Chloe Symmonds,30
36,Edinburgh University Boat Club,No,B,Laura Mcdonald,Louise Howat,Abigail Craig,Elizabeth Cooper,Aoife McCarthy,Imogen Greig-Connor,Lauren Macnaughton,Hannah Davis,31
81,University of London Boat Club,No,C,Leanna Beswick,Amelia Reddish,Rose Bernard,Jessica Milborne ,Catherine O'Leary,Olivia Rogerson,Maud Moir,Harriet Orr,32
32,Auriol Kensington Rowing Club,No,A,Hannah Smith,Kate O'Sullivan,Katherine Pankhurst,Sophie Lovett,Joanna Innes-Hopkins,Tamara Zwaagstra,Kirsty Page,Angela Hitchens,33
20,Glasgow University Boat Club,No,A,Aliese Steinhart,Marlene Cornelis,Grainne Maguire Conneely,Nina Gray,Emma Pearson,Ellen Smith,Robyn Gillies,Niamh McClure,34
35,Durham University Boat Club,No,B,Alicia Schwarzenbach,Ashleigh Mason,Samantha Bousfield,Saskia Devereux,Anna van der Star,Emily Grant,Madeleine Orr,Gabriella Hatfield,35
50,Mortlake Anglian & Alpha Boat Club,No,A,Catharine Bruce,Jennifer Aitken,Sophie Piper,Zoe Brass,Kaila Engelsman,Jade Robertson,Claire Brown,Amy Hudson,36
31,Agecroft Rowing Club,No,A,Harriet West,Bethan Birdsey,Terri Maynard,Catherine Pringle,Kate Silverthorne,Charlotte Grandfield,Alexandra Gardiner,Grace Miller,37
100,Nottinghamshire County Rowing Association ,No,,Abigail Clark,Aimee Richards,Jessica Eaves,Tilly Ireland,Lucy Stokes,Madeleine Moore,Megan Pepper,Priya Jenkins,38
24,City of Oxford Rowing Club,No,A,Emily Lyons,Naomi Sharma,Kimberley Salter,Lucy Martin,Corinne Larkworthy,Louisa Taylor,Merel Lefferts,Stacey Crocker,39
109,Bath University Boat Club,No,A,Phoebe Eaton,Eleanor Denham,Jessica Pidgeon,Elizabeth Stacey,Kate Hunt,Robyn Bell,Hannah Bartholomew,Sophia Stiling,40
33,Lea Rowing Club,No,A,Rebecca Minnich,Bridget Snaith,Anita Davies,Amy Johnson,Amanda Benson-Skailes,Nicole Cooke,Valentina Futoryanova,Lizzie Chapman,41
88,Cambridge University Womens Boat Club,No,C,Kate McDaid,Katie Bruce,Clare Pearson,Sarah Carlotti,Olivia Jamrog,Kate Shipley,Sally O'Brien,Rebecca Dell,42
27,Nottingham University Boat Club,No,A,Aerin Thompson,Claudia Adams,Georgia Bonfield,Grace Fielding,Isabelle Glanvill,Lucy Gillbanks,Eleanor Ball,Nina Giambrone,43
39,Henley Rowing Club,No,B,Rebecca Lister,Phoebe Snowden,Madeleine Pollard,Georgia Brown,Amber Weller,Emeline Warner,Grace Johnson ,Charlotte Rowley,44
37,Grosvenor Rowing Club,No,A,Siobhan Barnard,Charlie Shaw,Mairead Flannery,Laura Champion,Carly Morris,Maddie Archer,Jessica Hulson,Ellen Mitchell,45
47,Putney Town Rowing Club,No,A,Jade Gowan,Laura Tompkins,Amy Crowe,Catherine Gleave,Kathryn Lewis,Lauren Buchanan,Catriona Docherty,Emily Bowden,46
51,Upper Thames Rowing Club,No,,Emma Peacock,Antonia Helen van Deventer Moss,Rhianna Cearns,Mary Merritt-Smith,Alex Flynn,Sally Pollok-Morris,Amanda Hynes,A Brooks,47
48,St Andrews University Boat Club,No,A,Morgan Hartley,Jodie Cameron,Julia Marache,Eleanor Livingston,Skye Arnott,Hannah Myatt,Kirstin Giddy,Alice Thompson,48
58,Quintin Boat Club/Tideway Scullers School/Kingston Rowing Club/London Rowing Club/MortlakeA&A Boat Club,Quintin Boat Club,,Rebekah Edgar,Claire McIntosh,G M Peck,Lorna Cardwell,Kate Grose,Judith Schulz,Elaine Johnstone,Andrea Finn,49
23,Wallingford Rowing Club,No,A,Alice Brown,Mary Murray,Emily Booker,Becky Waller,Rachel Edge,Jenny Taylor,Julia Wilks,Samantha Burrows,50
244,Lea Rowing Club,No,D,Alice Bolitho,Matilda Power,Elsa Froggatt-Brown,Molly Foxell,Ella Sharman,Rachel McDonald,Rosa Millard,Laura Ellington,51
104,Agecroft Rowing Club,No,B,Emma Bleasdale,Emma Bailey,Jessica Swindells,Ashling Baggaley,Charlotte Waghorne,Florence Morton,Hattie Bracey,Molly Kearney,52
92,City of Bristol Rowing Club,No,A,Poppy Campbell,Annabel Young,Emma Bawden,Lauren O'Neill,Lindsay Scott,Jenny Chapman,Amy Gardner,Chloe Farrar,53
93,Vesta Rowing Club,No,B,Rebecca Kelly,Katie Baulkwill,Mikaela Blowing,Harriet Farquharson,Jessica Bromley,Charlotte Lennox,Clare Wood,Cameo Choquer,54
43,Newcastle University Boat Club,No,C,Elizabeth Fuller,Sophie Adams,Emily Soppitt,Christina Castledine,Katy-Ann Claridge,Frances Munro,Lydia Davis,Victoria Chamberlain,55
246,Sir William Perkinss School Rowing Club ,No,,Louise Wax,Eve Linney,Ella Ayoade,Lerin Adetola,Emily Keen,Annabelle Taylor,Olivia Garnham,Isabella Daniels,56
45,Headington School Oxford Boat Club,No,B,Rachel Grainger,Alexandra Peach,Amarna Milne,Charlotte Barker,Madeleine Chichester,Alice Plucknett,Zakira Klico,Trudie Marks,57
40,Tideway Scullers School,No,C,Rachel Dean,Mary McWilliam,Maxi Scibor-Rylska,Sally Trump,Amy Kilby,Elizabeth Williams,Kate Thorne,Alexandra Courage,58
34,Birmingham University Boat Club,No,A,Bethany Holmes,Harriet Lowe,Rose Andryszewska,Hannah Chatfield,Isobel Haig,Henrietta Green,Victoria Wright,Ayesha Wooler,59
