competition,event,race,code,position,nationality,time,crew
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H1,1,GER,06:23.4,"STEINHUEBEL, Konstantin; HARTIG, Lars"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H1,2,ITA,06:25.2,"MICHELETTI, Andrea; RUTA, Pietro"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H1,3,HUN,06:38.9,"GALAMBOS, Peter; CSEPREGI, Gabor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H1,4,CRO,06:43.6,"RADONIC, Vedran; RUPCIC, Dino"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H1,5,DEN,06:46.7,"STEPHANSEN, Henrik; JENSEN, Steffen"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H2,1,NOR,06:24.4,"BRUN, Kristoffer; STRANDLI, Are"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H2,2,POL,06:31.7,"MIKOLAJCZEWSKI, Artur; JANKOWSKI, Milosz"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H2,3,UKR,06:39.4,"KOVALOV, Stanislav; KHMARA, Igor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H2,4,BUL,06:44.1,"VITANOV, Vassil; KARAIVANOV, Zlatko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H2,5,SLO,06:46.3,"MALESIC, Matevz; BOLHA, Marko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H3,1,FRA,06:15.2,"DELAYRE, Stany; AZOU, Jeremie"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H3,2,NED,06:21.9,"MUDA, Tycho; MUDA, Vincent"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H3,3,GBR,06:25.3,"FLETCHER, William; KIRKWOOD, Jamie"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H3,4,AUT,06:28.3,"SIEBER, Paul; SIEBER, Bernhard"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H3,5,RUS,06:38.1,"UFIMTCEV, Mikhail; KUDRYAVTSEV, Ivan"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H4,1,SUI,06:20.7,"SCHUERCH, Simon; GYR, Mario"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H4,2,GRE,06:22.4,"KONSOLAS, Eleftherios; GIANNAROS, Spyridon"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H4,3,CZE,06:26.1,"VETESNIK, Jan; VETESNIK, Ondrej"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Heat,H4,4,SVK,07:21.5,"VANCO, Matus; VANCO, Richard"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FA,1,FRA,06:11.8,"DELAYRE, Stany; AZOU, Jeremie"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FA,2,GER,06:13.2,"STEINHUEBEL, Konstantin; HARTIG, Lars"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FA,3,NOR,06:13.3,"BRUN, Kristoffer; STRANDLI, Are"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FA,4,ITA,06:13.7,"MICHELETTI, Andrea; RUTA, Pietro"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FA,5,SUI,06:14.0,"SCHUERCH, Simon; GYR, Mario"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FA,6,NED,06:17.5,"MUDA, Tycho; MUDA, Vincent"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FB,1,GRE,06:17.9,"KONSOLAS, Eleftherios; GIANNAROS, Spyridon"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FB,2,POL,06:18.3,"MIKOLAJCZEWSKI, Artur; JANKOWSKI, Milosz"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FB,3,GBR,06:20.2,"FLETCHER, William; KIRKWOOD, Jamie"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FB,4,CZE,06:21.5,"VETESNIK, Jan; VETESNIK, Ondrej"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FB,5,HUN,06:23.8,"GALAMBOS, Peter; CSEPREGI, Gabor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FB,6,AUT,06:31.9,"SIEBER, Paul; SIEBER, Bernhard"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FC,1,UKR,06:29.1,"KOVALOV, Stanislav; KHMARA, Igor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FC,2,DEN,06:30.9,"STEPHANSEN, Henrik; JENSEN, Steffen"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FC,3,CRO,06:34.7,"RADONIC, Vedran; RUPCIC, Dino"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FC,4,RUS,06:35.2,"UFIMTCEV, Mikhail; KUDRYAVTSEV, Ivan"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FC,5,BUL,06:39.4,"VITANOV, Vassil; KARAIVANOV, Zlatko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FD,1,SVK,06:37.1,"VANCO, Matus; VANCO, Richard"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Final,FD,2,SLO,06:43.5,"MALESIC, Matevz; BOLHA, Marko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R1,1,GBR,06:21.4,"FLETCHER, William; KIRKWOOD, Jamie"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R1,2,HUN,06:23.3,"GALAMBOS, Peter; CSEPREGI, Gabor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R1,3,DEN,06:25.5,"STEPHANSEN, Henrik; JENSEN, Steffen"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R1,4,SVK,06:42.4,"VANCO, Matus; VANCO, Richard"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R1,5,BUL,06:47.1,"VITANOV, Vassil; KARAIVANOV, Zlatko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R2,1,CZE,06:30.6,"VETESNIK, Jan; VETESNIK, Ondrej"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R2,2,AUT,06:31.6,"SIEBER, Paul; SIEBER, Bernhard"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R2,3,UKR,06:32.7,"KOVALOV, Stanislav; KHMARA, Igor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R2,4,RUS,06:36.5,"UFIMTCEV, Mikhail; KUDRYAVTSEV, Ivan"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R2,5,CRO,06:45.9,"RADONIC, Vedran; RUPCIC, Dino"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Repechage,R2,6,SLO,06:47.8,"MALESIC, Matevz; BOLHA, Marko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,1,NOR,06:20.4,"BRUN, Kristoffer; STRANDLI, Are"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,2,GER,06:21.2,"STEINHUEBEL, Konstantin; HARTIG, Lars"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,3,NED,06:23.0,"MUDA, Tycho; MUDA, Vincent"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,4,GRE,06:26.4,"KONSOLAS, Eleftherios; GIANNAROS, Spyridon"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,5,GBR,06:27.3,"FLETCHER, William; KIRKWOOD, Jamie"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,6,AUT,06:36.4,"SIEBER, Paul; SIEBER, Bernhard"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,1,FRA,06:17.8,"DELAYRE, Stany; AZOU, Jeremie"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,2,ITA,06:19.1,"MICHELETTI, Andrea; RUTA, Pietro"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,3,SUI,06:20.1,"SCHUERCH, Simon; GYR, Mario"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,4,POL,06:22.9,"MIKOLAJCZEWSKI, Artur; JANKOWSKI, Milosz"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,5,CZE,06:33.1,"VETESNIK, Jan; VETESNIK, Ondrej"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,6,HUN,06:34.5,"GALAMBOS, Peter; CSEPREGI, Gabor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SC/D 1,1,DEN,06:35.7,"STEPHANSEN, Henrik; JENSEN, Steffen"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SC/D 1,2,RUS,06:37.2,"UFIMTCEV, Mikhail; KUDRYAVTSEV, Ivan"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SC/D 1,3,BUL,06:41.4,"VITANOV, Vassil; KARAIVANOV, Zlatko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SC/D 1,4,SLO,06:47.3,"MALESIC, Matevz; BOLHA, Marko"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SC/D 2,1,CRO,06:27.8,"RADONIC, Vedran; RUPCIC, Dino"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SC/D 2,2,UKR,06:28.3,"KOVALOV, Stanislav; KHMARA, Igor"
2014 European Rowing Championships,LM2x,Lightweight Men's Double Sculls - Semifinal,SC/D 2,3,SVK,06:30.1,"VANCO, Matus; VANCO, Richard"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H1,1,DEN,05:54.6,"WINTHER, Kasper; LARSEN, Jacob; BARSOE, Jacob; JOERGENSEN, Morten"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H1,2,GER,05:57.4,"KOCH, Jonathan; WICHERT, Lars; ARNOLD, Matthias; PESCHEL, Julius"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H1,3,POL,06:01.4,"PSZCZOLKOWSKI, Patryk; KAMINSKI, Dawid; SOBCZAK, Adam; PSZCZOLKOWSKI, Bartosz"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H1,4,CZE,06:04.5,"HUMPOLEC, Michael; HAJEK, Jan; ZADAK, Karel; VIKTORA, Milan"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H1,5,AUT,06:05.7,"SIGL, Dominik; LEMP, Markus; BERG, Florian; HELLMEIER, Joschka"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H1,6,ITA,06:06.9,"LA PADULA, Livio; DELL'AQUILA, Armando; GORETTI, Martino; LUINI, Elia"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H2,1,GBR,05:58.1,"ALDRED, Mark; CHAMBERS, Peter; CHAMBERS, Richard; BARTLEY, Chris"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H2,2,FRA,06:00.9,"MOUTERDE, Augustin; BAROUKH, Thomas; SOLFOROSI, Franck; RAINEAU, Guillaume"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H2,3,ESP,06:06.1,"PEREZ MORENO, Sergio; GONZALEZ ALVAREZ, Jesus; FRANQUET MONTFORT, Marc; ROJAS AZNAR, Patricio"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H2,4,RUS,06:10.1,"BELIKOV, Mikhail; KURANOV, Anton; VIKULIN, Aleksey; CHAUKIN, Alexander"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H2,5,NED,06:12.2,"PIJS, Joris; VAN GENNEP, Jort; VAN DEN ENDE, Bjorn; HEIJBROCK, Timothee"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Heat,H2,6,UKR,06:16.2,"SYCHOV, Serhii; ZAMANA, Iegor; SERDIUK, Oleksandr; CHYKYRYNDA, Valerii"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FA,1,DEN,06:08.8,"WINTHER, Kasper; LARSEN, Jacob; BARSOE, Jacob; JOERGENSEN, Morten"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FA,2,GBR,06:11.0,"ALDRED, Mark; CHAMBERS, Peter; CHAMBERS, Richard; BARTLEY, Chris"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FA,3,FRA,06:12.8,"MOUTERDE, Augustin; BAROUKH, Thomas; SOLFOROSI, Franck; RAINEAU, Guillaume"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FA,4,ESP,06:18.0,"PEREZ MORENO, Sergio; GONZALEZ ALVAREZ, Jesus; FRANQUET MONTFORT, Marc; ROJAS AZNAR, Patricio"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FA,5,GER,06:19.3,"KOCH, Jonathan; WICHERT, Lars; ARNOLD, Matthias; PESCHEL, Julius"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FA,6,POL,06:27.4,"PSZCZOLKOWSKI, Patryk; KAMINSKI, Dawid; SOBCZAK, Adam; PSZCZOLKOWSKI, Bartosz"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FB,1,CZE,06:02.2,"HUMPOLEC, Michael; HAJEK, Jan; ZADAK, Karel; VIKTORA, Milan"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FB,2,AUT,06:04.1,"SIGL, Dominik; LEMP, Markus; BERG, Florian; HELLMEIER, Joschka"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FB,3,RUS,06:04.1,"BELIKOV, Mikhail; KURANOV, Anton; VIKULIN, Aleksey; CHAUKIN, Alexander"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FB,4,ITA,06:06.6,"DELL'AQUILA, Armando; LA PADULA, Livio; GORETTI, Martino; LUINI, Elia"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Final,FB,5,UKR,06:14.7,"SERDIUK, Oleksandr; CHYKYRYNDA, Valerii; SYCHOV, Serhii; ZAMANA, Iegor"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R1,0,NED,00:00.0,"PIJS, Joris; VAN GENNEP, Jort; VAN DEN ENDE, Bjorn; HEIJBROCK, Timothee"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R1,1,GER,06:01.0,"KOCH, Jonathan; WICHERT, Lars; ARNOLD, Matthias; PESCHEL, Julius"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R1,2,ESP,06:02.4,"PEREZ MORENO, Sergio; GONZALEZ ALVAREZ, Jesus; FRANQUET MONTFORT, Marc; ROJAS AZNAR, Patricio"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R1,3,CZE,06:07.0,"HUMPOLEC, Michael; HAJEK, Jan; ZADAK, Karel; VIKTORA, Milan"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R1,4,ITA,06:07.4,"LA PADULA, Livio; DELL'AQUILA, Armando; GORETTI, Martino; LUINI, Elia"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R2,1,FRA,06:03.1,"MOUTERDE, Augustin"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R2,2,POL,06:06.3,"PSZCZOLKOWSKI, Patryk"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R2,3,AUT,06:08.3,"SIGL, Dominik"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R2,4,RUS,06:10.3,"BELIKOV, Mikhail"
2014 European Rowing Championships,LM4-,Lightweight Men's Four - Repechage,R2,5,UKR,06:20.4,"SERDIUK, Oleksandr"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H1,1,NED,06:42.1,"WEERKAMP, Tim; DE GRAAF, Ivo"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H1,2,CZE,06:44.9,"KOPAC, Jiri; VRASTIL JR, Miroslav"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H1,3,TUR,06:45.1,"YILMAZ, Cem; YUMRUKAYA, Ahmet"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H1,4,GER,07:01.7,"NEUMANN, Torben; TEMEL, Can"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H1,5,AUT,07:04.9,"CHERNIKOV, Alexander; TABORSKY, Matthias"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,1,GBR,06:39.5,"SCRIMGEOUR, Sam; CLEGG, Jonathan"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,2,FRA,06:42.6,"DURET, Clement; ONFROY, Theophile"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,3,GRE,06:51.3,"KONSOLAS, Georgios; AFENTOULIS, Nikolaos"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,4,POR,07:03.4,"FERNANDES DA VEIGA, Paulo; GONCALVES COELHO, Nuno"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H2,5,CRO,07:07.3,"KAVCIC, Kresimir; FILIPOVIC, Marijan"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Heat,H3,1,SUI,06:42.5,"NIEPMANN, Simon; TRAMER, Lucas"
