Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Shiels, Tomas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,0,Coxswain,Finished,5:37.479
"Craik, Maximillian",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,1,Bow,Finished,5:37.479
"Stopnevich, Artem",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,2,2,Finished,5:37.479
"Crossley, Elliot",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,3,3,Finished,5:37.479
"Lockett, Jack",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,4,4,Finished,5:37.479
"Lester, Phoenix",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,5,5,Finished,5:37.479
"Shaw, Joseph",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,6,6,Finished,5:37.479
"Branford, Sam",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,7,7,Finished,5:37.479
"Sullivan, Dominic",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Royal Shrewsbury Sch,Royal Shrewsbury Sch,1,8,Stroke,Finished,5:37.479
"Bracey, Edward",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,0,Coxswain,Finished,5:38.034
"Swidler, Nathan",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,1,Bow,Finished,5:38.034
"Ridgewell, Max",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,2,2,Finished,5:38.034
"Shakespeare, Max",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,3,3,Finished,5:38.034
"Hall, Theodore",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,4,4,Finished,5:38.034
