competition,event,race,code,date,position,nationality,time,crew
2010 European Championships,M2+,Men's Coxed Pair - Final,F,11/09/2010,1,BLR,07:45.5,"LIALIN, Vadzim; KAZUBOUSKI, Aliaksandr; PIATRYNICH, Piotr"
2010 European Championships,M2+,Men's Coxed Pair - Final,F,11/09/2010,2,ITA,07:48.8,"PONTI, Simone; PALMISANO, Mario; LENZI, Andrea"
2010 European Championships,M2+,Men's Coxed Pair - Final,F,11/09/2010,3,CZE,07:53.4,"HOUSKA, Jakub; MAKOVICKA, Jakub; HEJDUSEK, Oldrich"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,1,AUS,07:03.3,"MORGAN, Christopher; GRIMM, Dominic; WEBSTER, David"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,2,ITA,07:04.4,"PERINO, Paolo; FRATTINI, Pierpaolo; LENZI, Andrea"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,3,GER,07:06.2,"MUNSKI, Maximilian; ADAMSKI, Filip; KOWERT, Albert"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,4,USA,07:07.9,"STANGEL, Justin; GUREGIAN, Nareg; YOUNG JR., Stephen"
2010 World Rowing Cup III,M2+,Men's Coxed Pair - Final,F,10/07/2010,1,AUS,07:26.9,"GRIMM, Dominic; COUDRAYE, Bryn; LISTER, Tobias"
2010 World Rowing Cup III,M2+,Men's Coxed Pair - Final,F,10/07/2010,2,ITA,07:34.5,"LIUZZI, Emanuele; PERETTI, Michele; FANCHI, Niccolo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,29/08/2011,1,ITA,07:04.2,"CAPELLI, Vincenzo; FRATTINI, Pierpaolo; FANCHI, Niccolo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,29/08/2011,2,USA,07:10.3,"JOHNSON, Derek; DIDIER, Blaise; ALTIMARI, Anthony"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,29/08/2011,3,CAN,07:11.9,"LIGHT, Kevin; VANKNOTSENBURG, Steven; PRICE, Brian"
