competition,event,race,code,date,position,nationality,time,crew
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H1,01/06/2018,1,DEN,06:37.9,"ESPENSEN, Emil; MODEST, Alexander"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H1,01/06/2018,2,CZE,06:42.1,"SIMANEK, Jiri; VRASTIL JR, Miroslav"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H1,01/06/2018,3,MEX,06:46.1,"ARMENTA VEGA, Alan Eber; LOPEZ GARCIA, Alexis"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H1,01/06/2018,4,SUI1,06:46.8,"STRUZINA, Andri; MUELLER, Julian"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H1,01/06/2018,5,GRE,07:03.2,"NTINENIS, Charalampos ; GRAMMENIATIS, Aristeidis"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H2,01/06/2018,1,POL,06:35.0,"KOWALSKI, Jerzy; JANKOWSKI, Milosz"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H2,01/06/2018,2,ESP,06:43.9,"ROJAS AZNAR, Patricio; CONDE ROMERO, Rodrigo"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H2,01/06/2018,3,GBR2,06:52.8,"TEMPLE, James; HORSBURGH, Gavin"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H2,01/06/2018,4,HUN1,07:05.4,"FURKO, Kalman; SZLOVAK , Rajmund"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H2,01/06/2018,5,TUR2,07:14.6,"UNSAL, Fatih; KARTAL, Mert Kaan"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H3,01/06/2018,1,CAN2,06:32.7,"KEANE, Patrick; LATTIMER, Maxwell"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H3,01/06/2018,2,IRL,06:34.3,"O'DONOVAN, Gary; O'DONOVAN, Paul"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H3,01/06/2018,3,POR,06:42.5,"FRAGA, Pedro; COSTA, Afonso"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H3,01/06/2018,4,SUI2,06:51.0,"RUEEDI, Fiorin; RYSER, Pascal"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H3,01/06/2018,5,TUR1,07:01.0,"YENIPAZARLI, Enes; SONMEZ, Bayram"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H4,01/06/2018,1,BEL,06:37.5,"BRYS, Tim; VAN ZANDWEGHE, Niels"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H4,01/06/2018,2,AUT,06:40.0,"SCHOEBERL, Julian; SIEBER, Bernhard"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H4,01/06/2018,3,GBR1,06:47.4,"LEE-GREEN, Zak; MOTTRAM, Samuel"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Heat,H4,01/06/2018,4,RUS,07:00.8,"KURANOV, Anton; LIFSHITC, Nazar"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FA,03/06/2018,1,POL,06:13.0,"KOWALSKI, Jerzy; JANKOWSKI, Milosz"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FA,03/06/2018,2,BEL,06:14.1,"BRYS, Tim; VAN ZANDWEGHE, Niels"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FA,03/06/2018,3,IRL,06:14.1,"O'DONOVAN, Gary; O'DONOVAN, Paul"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FA,03/06/2018,4,CAN2,06:17.3,"KEANE, Patrick; LATTIMER, Maxwell"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FA,03/06/2018,5,AUT,06:17.3,"SCHOEBERL, Julian; SIEBER, Bernhard"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FA,03/06/2018,6,SUI1,06:23.9,"STRUZINA, Andri; MUELLER, Julian"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FB,03/06/2018,1,CZE,06:20.7,"SIMANEK, Jiri; VRASTIL JR, Miroslav"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FB,03/06/2018,2,GBR1,06:21.1,"LEE-GREEN, Zak; MOTTRAM, Samuel"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FB,03/06/2018,3,POR,06:21.3,"FRAGA, Pedro; COSTA, Afonso"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FB,03/06/2018,4,DEN,06:21.8,"ESPENSEN, Emil; MODEST, Alexander"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FB,03/06/2018,5,MEX,06:22.3,"ARMENTA VEGA, Alan Eber; LOPEZ GARCIA, Alexis"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FB,03/06/2018,6,ESP,06:23.8,"ROJAS AZNAR, Patricio; CONDE ROMERO, Rodrigo"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FC,02/06/2018,1,GBR2,06:52.0,"TEMPLE, James; HORSBURGH, Gavin"
2018 World Rowing Cup I,LM2x,Lightweight Men's Double Sculls - Final,FC,02/06/2018,2,SUI2,06:52.7,"RUEEDI, Fiorin; RYSER, Pascal"
